Number,Type,Family,Morphospecies,Notes,
BL57121,A,I,m71,,
BG36422,A,I,m71,,
ZA32621,A,I,m71,,
DE50521,A,I,m71,,
BH52721,A,I,m72,Nola cord red ,
BU54921,A,I,m72,,
ND31823,A,I,m72,,
BN34621,A,I,m72,,
CC32722,A,I,m72, ,
CD31222,A,I,m72,,
FF31821,A,I,m72,,
BQ34722,A,I,m72,,
BX37122,A,I,m72,,
BH68021,A,I,m72,,
DW32522,A,I,m72,,
BR50521,A,I,m72,,
CB52712,A,I,m74,Pyre multi ,
CZ32621,A,I,m75,Nola wiggle ,
J3172T,A,I,m8,Abdonmen has stripes on it. Very thick and short abdomen. Horse head very elongated with long tongue sticking out.,
CG32532,A,I,m8,*see K4329T for notes,
DS75932,A,I,m8,*see K4329T for notes,
J2778,A,I,m8,*see K4329T for notes,
J2719T,A,I,m9,Very thick horse head with skinny short line sticking out of mouth. Shape under horse head more rounded. ,
1041,A,I,m9,*see J2719T for notes,
J28218,N,,,,
J2938,N,,,,
J2320,N,,,,
J2250,J,,,Catepillar head ,
K4574,J,,,Catepillar head,
K5024,J,,,Not a parasitoid ,
K4626,N,,,,
K4604,N,,,,
K4561,J,,,Part of catepillar ,
2193,N,,,,
K4158,N,,,,
J2679,N,,,,
K4317,J,,,Piece of catepillar/junk ,
J3441,J,,,Yellow pupae with two black spots on one end of pupae. Would not be a good candidate for DNA- in fragments/has junk in it as well ,
J2724,J,,,Fragments on a pupae and junk ,
BL40233,N,,,,
1413,J,,,Mostly junk,
2128,N,,,,
1018,N,,,,
2201,N,,,,
2234,N,,,,
1054,J,,,,
K4376,N,,,,
